cap.4383535	cap.4386223	cap.4388092	cap.4391097	cap.4391244	cap.4395785	pcp.4311574	pcp.4378760	pcp.4383785	pcp.4385354	pcp.4386363	pcp.4388658
Kiritimatiellaeota	0	0	0	0	0	0	0	0	0	0	0.0689932668091056	0
Chrysiogenetes	0	0	0	0	0	0	0	0	0	0.0303768275838605	0	0
Deferribacteres	0	0	0	0	0	0	0	0	0	0.0303768275838605	0.0689932668091056	0
Caldiserica	0	0	0	0	0	0	0	0	0	0.0607536551677211	0	0
Thermodesulfobacteria	0	0	0	0	0	0	0	0	0	0.121507310335442	0	0
Candidatus_Cloacimonetes	0	0	0	0	0	0	0	0	0	0.0303768275838605	0.137986533618211	0
Fibrobacteres	0	0	0	0	0	0	0	0	0	0.0911304827515816	0	0
Balneolaeota	0	0	0	0	0	0	0	0	0	0.0303768275838605	0	0
Calditrichaeota	0	0	0	0	0	0	0.0724451266199545	0	0	0	0.0689932668091056	0
Nitrospirae	0	0	0	0	0	0	0.217335379859864	0.0539315274541137	0	0.151884137919303	0.413959600854633	0.0498172305445781
Candidatus_Omnitrophica	0	0	0	0	0	0	0.0724451266199545	0	0	0.0607536551677211	0	0
Candidatus_Bipolaricaulota	0	0	0	0.0569929331612527	0	0	0	0	0	0	0	0.0996344610891561
Elusimicrobia	0	0	0.0611636432050679	0	0	0	0	0	0	0.121507310335442	0	0
Dictyoglomi	0	0	0.0611636432050679	0	0.0277708705451427	0	0	0	0	0.212637793087024	0	0
Acidobacteria	0	0	0.122327286410136	0.113985866322505	0.138854352725714	0.0830944506368275	0.507115886339682	0.0539315274541137	0.0722065140962279	0.425275586174048	1.31087206937301	0.0996344610891561
Aquificae	0	0	0.183490929615204	0	0.0555417410902855	0	0	0.269657637270569	0.144413028192456	0.394898758590187	0.206979800427317	0
Synergistetes	0	0	0.550472788845611	0	1.166376562896	0	0.0724451266199545	0	0	0.0607536551677211	0.0689932668091056	0.149451691633734
Chlamydiae	0	0	0.122327286410136	0	0.0555417410902855	0	0	0.0539315274541137	0	0.54678289650949	0.137986533618211	0
Ignavibacteriae	0	0	0.0611636432050679	0	0.0277708705451427	0.0830944506368275	0.0724451266199545	0	0	0.182260965503163	0.0689932668091056	0
Chloroflexi	0	0	0.0611636432050679	0	0.138854352725714	0	0.144890253239909	0.0539315274541137	0.0361032570481139	0.364521931006327	0.482952867663739	0.0498172305445781
Armatimonadetes	0	0	0.0611636432050679	0	0.0277708705451427	0	0	0.0539315274541137	0	0	0.0689932668091056	0
Chlorobi	0	0.0278016887746623	0.0611636432050679	0	0.0555417410902855	0	0.217335379859864	0	0	0.212637793087024	0.344966334045528	0.0498172305445781
Thermotogae	0.0299095985375163	0.0556033775493245	0.183490929615204	0	0.166625223270856	0	0	0.269657637270569	0.0361032570481139	1.09356579301898	0.137986533618211	0.0498172305445781
Candidatus_Saccharibacteria	0.0299095985375163	0	0.122327286410136	0	0.277708705451427	0	0.217335379859864	0.0539315274541137	0	0	0.137986533618211	0.0498172305445781
Verrucomicrobia	0.0299095985375163	0	0.366981859230407	0.113985866322505	0.0555417410902855	0.0830944506368275	1.08667689929932	0.0539315274541137	0.108309771144342	0.364521931006327	4.07060274173723	0
Planctomycetes	0.089728795612549	0	0.917454648076018	0.0569929331612527	0.333250446541713	0.166188901273655	0.579561012959636	0.539315274541137	0.144413028192456	4.86029241341769	2.00080473746406	0.348720613812046
Spirochaetes	0.179457591225098	0.111206755098649	44.5882958964945	0.170978799483758	6.72055067192454	0.0830944506368275	0.0724451266199545	0.916835966719933	0.108309771144342	3.34145103422466	1.10389226894569	0.149451691633734
Fusobacteria	0.239276788300131	0.111206755098649	5.44356424525104	0.227971732645011	7.8591563642754	0.166188901273655	0.434670759719727	5.1234951081408	0.758168398010393	4.49577048241136	7.17529974814698	3.188302754853
Gemmatimonadetes	0.0299095985375163	0	0.0611636432050679	0	0	0	0.0724451266199545	0.0539315274541137	0	0.151884137919303	0.275973067236422	0
Bacteroidetes	7.20821324754144	1.33448106118379	113.580885431811	4.90139225186773	6.02627890829598	2.409739068468	27.5291481155827	18.3906508618528	4.69342341625481	380.378635005102	75.9615867568252	163.101612802949
Deinococcus-Thermus	0.0598191970750327	0	0.795127361665882	0	0.277708705451427	0.747850055731448	0.507115886339682	0.215726109816455	0.108309771144342	1.85298648261549	3.93261620811902	0.498172305445781
Tenericutes	0.209367189762614	0.222413510197298	0.733963718460815	0.626922264773779	0.777584375263997	0.166188901273655	0.362225633099773	1.40221971380696	0.144413028192456	10.3281213785126	1.03489900213658	0.199268922178312
Cyanobacteria	0.598191970750327	0.25021519897196	1.40676379371656	0.85489399741879	1.08306395126057	0.747850055731448	1.81112816549886	2.15726109816455	0.288826056384912	7.95872882697146	3.79462967450081	0.547989535990359
Actinobacteria	2.33294868592627	5.00430397943921	537.995405631777	10.2017350358642	46.1274159754821	21.2721793630279	45.2782041374716	56.7359668817276	25.994345074642	461.059489067835	162.617129869062	299.152469420191
Firmicutes	28.8926721872408	2.91917732133954	475.241507703377	588.395041956773	1271.15605746282	9.47276737259834	40.5692709071745	212.813807333933	15.7410200729777	2478.93139180852	236.853884955659	165.991012174534
Proteobacteria	66.6086759430489	134.143148337745	961.125489324437	127.436198548561	56.5970341710009	25.5930907961429	236.026222527812	241.073927719888	220.51869404988	1390.10438389263	833.09369671995	486.315804576171
