cap.4383535	cap.4386223	cap.4388092	cap.4391097	cap.4391244	cap.4395785	pcp.4311574	pcp.4378760	pcp.4383785	pcp.4385354	pcp.4386363	pcp.4388658
k__Bacteria	107.255820355534	144.763393449666	2171.55398835273	740.167222965188	1433.78227537517	66.3093716081884	361.138956200473	549.993716977052	270.918840889047	4821.13668266209	1355.23473993126	1128.31045460415
k__Bacteria|p__Kiritimatiellaeota	0	0	0	0	0	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae	0	0	0	0	0	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae|o__Kiritimatiellales	0	0	0	0	0	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae|o__Kiritimatiellales|f__Kiritimatiellaceae	0	0	0	0	0	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae|o__Kiritimatiellales|f__Kiritimatiellaceae|g__Kiritimatiella	0	0	0	0	0	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae|o__Kiritimatiellales|f__Kiritimatiellaceae|g__Kiritimatiella|s__Kiritimatiella_glycovorans	0	0	0	0	0	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Chrysiogenetes	0	0	0	0	0	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	0	0	0	0	0	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales	0	0	0	0	0	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae	0	0	0	0	0	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum	0	0	0	0	0	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum|s__Desulfurispirillum_indicum	0	0	0	0	0	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Deferribacteres	0	0	0	0	0	0	0	0	0	0.0303768275838605	0.0689932668091056	0
k__Bacteria|p__Deferribacteres|c__Deferribacteres	0	0	0	0	0	0	0	0	0	0.0303768275838605	0.0689932668091056	0
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	0	0	0	0	0	0	0	0	0	0.0303768275838605	0.0689932668091056	0
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae	0	0	0	0	0	0	0	0	0	0.0303768275838605	0.0689932668091056	0
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter	0	0	0	0	0	0	0	0	0	0.0303768275838605	0.0689932668091056	0
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter|s__Deferribacter_desulfuricans	0	0	0	0	0	0	0	0	0	0.0303768275838605	0.0689932668091056	0
k__Bacteria|p__Caldiserica	0	0	0	0	0	0	0	0	0	0.0607536551677211	0	0
k__Bacteria|p__Caldiserica|c__Caldisericia	0	0	0	0	0	0	0	0	0	0.0607536551677211	0	0
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales	0	0	0	0	0	0	0	0	0	0.0607536551677211	0	0
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae	0	0	0	0	0	0	0	0	0	0.0607536551677211	0	0
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum	0	0	0	0	0	0	0	0	0	0.0607536551677211	0	0
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum|s__Caldisericum_exile	0	0	0	0	0	0	0	0	0	0.0607536551677211	0	0
k__Bacteria|p__Thermodesulfobacteria	0	0	0	0	0	0	0	0	0	0.121507310335442	0	0
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria	0	0	0	0	0	0	0	0	0	0.121507310335442	0	0
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales	0	0	0	0	0	0	0	0	0	0.121507310335442	0	0
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae	0	0	0	0	0	0	0	0	0	0.121507310335442	0	0
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermosulfuriphilus	0	0	0	0	0	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermosulfuriphilus|s__Thermosulfuriphilus_ammonigenes	0	0	0	0	0	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium	0	0	0	0	0	0	0	0	0	0.0911304827515816	0	0
